t,ax,ay,az,gx,gy,gz
2.19408,-388,347,-80,-3,7,1
2.19411,-369,357,-107,-3,7,1
2.19415,-369,357,-107,-3,7,1
2.19417,-347,353,-107,-3,7,1
2.19418,-347,353,-107,-3,7,1
2.19428,-347,353,-107,-3,7,1
2.19431,-381,328,-97,-3,7,1
2.24500,-400,338,-47,-3,7,1
2.24505,-393,330,60,-3,7,1
2.24526,-393,330,60,-3,7,1
2.24530,-387,321,118,-3,7,1
2.24538,-387,321,118,-3,7,1
2.24541,-387,321,118,-3,7,1
2.24566,-423,310,84,-3,7,1
2.24571,-423,310,84,-3,7,1
2.24576,-436,313,-1,-3,7,1
2.24580,-436,313,-1,-3,7,1
2.24584,-436,313,-1,-3,7,1
2.24588,-404,318,-85,-3,7,1
2.24593,-404,318,-85,-3,7,1
2.24596,-387,314,-125,-3,7,1
2.24598,-387,314,-125,-3,7,1
2.24602,-387,314,-125,-3,7,1
2.30040,-384,324,0,-3,7,1
2.30045,-396,325,-94,-3,7,1
2.30050,-396,325,-94,-3,7,1
2.30051,-409,325,-172,-3,7,1
2.30053,-409,325,-172,-3,7,1
2.30055,-409,325,-172,-3,7,1
2.30064,-402,321,-203,-3,7,1
2.30066,-402,321,-203,-3,7,1
2.30068,-388,324,-156,-3,7,1
2.30069,-388,324,-156,-3,7,1
2.30074,-388,324,-156,-3,7,1
2.30076,-407,322,-70,-3,7,1
2.30082,-407,322,-70,-3,7,1
2.30084,-418,319,1,-3,7,1
2.30086,-418,319,1,-3,7,1
2.30088,-418,319,1,-3,7,1
2.35581,-398,337,-202,-3,7,1
2.35586,-398,337,-202,-3,7,1
2.35593,-398,337,-202,-3,7,1
2.35602,-377,332,-185,-3,7,1
2.35604,-377,332,-185,-3,7,1
2.35607,-349,343,-111,-3,7,1
2.35608,-349,343,-111,-3,7,1
2.35610,-349,343,-111,-3,7,1
2.35613,-367,352,-39,-3,7,1
