t,ax,ay,az,gx,gy,gz
2.06669,-333,349,379,7,-5,-1
2.06671,-480,349,427,7,-5,-1
2.06678,-480,349,427,7,-5,-1
2.06682,-480,349,427,7,-5,-1
2.06687,-498,316,252,7,-5,-1
2.06689,-498,316,252,7,-5,-1
2.06692,-365,301,23,7,-5,-1
2.06695,-365,301,23,7,-5,-1
2.06698,-365,301,23,7,-5,-1
2.06701,-328,324,-89,7,-5,-1
2.06707,-328,324,-89,7,-5,-1
2.12136,-425,333,208,7,-5,-1
2.12141,-495,310,118,7,-5,-1
2.12152,-495,310,118,7,-5,-1
2.12154,-423,288,-57,7,-5,-1
2.12155,-423,288,-57,7,-5,-1
2.12157,-423,288,-57,7,-5,-1
2.12160,-322,321,-194,7,-5,-1
2.12167,-322,321,-194,7,-5,-1
2.12171,-358,348,-263,7,-5,-1
2.12176,-358,348,-263,7,-5,-1
2.12179,-358,348,-263,7,-5,-1
2.12185,-426,322,-324,7,-5,-1
2.12190,-426,322,-324,7,-5,-1
2.12265,-397,287,-344,7,-5,-1
2.12271,-397,287,-344,7,-5,-1
2.12292,-397,287,-344,7,-5,-1
2.17684,-354,263,-343,7,-5,-1
2.17687,-354,311,-331,7,-5,-1
2.17692,-354,311,-331,7,-5,-1
2.17693,-354,311,-331,7,-5,-1
2.17693,-470,338,-261,7,-5,-1
2.17694,-470,338,-261,7,-5,-1
2.17700,-502,288,-199,7,-5,-1
2.17701,-502,288,-199,7,-5,-1
2.17704,-502,288,-199,7,-5,-1
2.17707,-384,280,-52,7,-5,-1
2.17707,-384,280,-52,7,-5,-1
2.17708,-322,340,189,7,-5,-1
2.17708,-322,340,189,7,-5,-1
2.17709,-322,340,189,7,-5,-1
2.17709,-430,355,309,7,-5,-1
2.17710,-430,355,309,7,-5,-1
2.23218,-474,331,178,7,-5,-1
2.23222,-374,333,232,7,-5,-1
2.23228,-374,333,232,7,-5,-1
2.23229,-336,344,237,7,-5,-1
2.23231,-336,344,237,7,-5,-1
2.23238,-336,344,237,7,-5,-1
2.23242,-406,363,188,7,-5,-1
2.23244,-406,363,188,7,-5,-1
2.23247,-406,352,67,7,-5,-1
2.23251,-406,352,67,7,-5,-1
2.23252,-406,352,67,7,-5,-1
2.23254,-361,305,-52,7,-5,-1
2.23258,-361,305,-52,7,-5,-1
2.23262,-382,299,-79,7,-5,-1
2.23274,-382,299,-79,7,-5,-1
2.23275,-382,299,-79,7,-5,-1
2.28761,-417,348,124,7,-5,-1
2.28768,-451,349,137,7,-5,-1
2.28774,-451,349,137,7,-5,-1
2.28784,-451,349,137,7,-5,-1
2.28786,-381,325,72,7,-5,-1
2.28792,-381,325,72,7,-5,-1
2.28799,-325,316,30,7,-5,-1
2.28803,-325,316,30,7,-5,-1
2.28810,-325,316,30,7,-5,-1
2.28812,-389,329,15,7,-5,-1
